Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"Angra dos Reis";"RJ";"207044";"Sim";"8,55%";"40,56%";"4,17%";"9,1%"
"Aperibé";"RJ";"11901";"Em elaboração";"13,07%";"7,57%";"Atendimento Pleno";"52,3%"
"Araruama";"RJ";"134293";"Sim";"4,19%";"22,69%";"--";"Não há"
"Areal";"RJ";"12669";"Em elaboração";"Atendimento Pleno";"--";"Atendimento Pleno";"16,3%"
"Armação dos Búzios";"RJ";"34477";"Sim";"2,31%";"19,88%";"--";"--"
"Arraial do Cabo";"RJ";"30593";"Em elaboração";"2,31%";"19,88%";"9,41%";"Não há"
"Barra do Piraí";"RJ";"100764";"Sim";"22,97%";"50,43%";"1,17%";"4,3%"
"Barra Mansa";"RJ";"184833";"Sim";"1%";"10,6%";"0,02%";"4,1%"
"Belford Roxo";"RJ";"513118";"Sim";"Atendimento Pleno";"56,77%";"1,95%";"33,9%"
"Bom Jardim";"RJ";"27616";"Em elaboração";"40,85%";"99,78%";"9,98%";"5,6%"
"Bom Jesus do Itabapoana";"RJ";"37203";"Não";"26,84%";"Atendimento Pleno";"0,55%";"1,8%"
"Cabo Frio";"RJ";"230378";"Sim";"2,31%";"19,88%";"Atendimento Pleno";"4,6%"
"Cachoeiras de Macacu";"RJ";"59303";"Sim";"90,34%";"--";"10%";"0,3%"
"Cambuci";"RJ";"15514";"Sim";"28,08%";"34,25%";"23,84%";"18%"
"Campos dos Goytacazes";"RJ";"511168";"Sim";"2,14%";"15,74%";"0,71%";"4,7%"
"Cantagalo";"RJ";"20168";"Sim";"29,29%";"Atendimento Pleno";"Atendimento Pleno";"--"
"Carapebus";"RJ";"16586";"Não";"76,4%";"1,72%";"9,56%";"3,1%"
"Cardoso Moreira";"RJ";"12821";"Sim";"32,47%";"--";"30,5%";"Não há"
"Carmo";"RJ";"19030";"Sim";"--";"--";"19,74%";"3,6%"
"Casimiro de Abreu";"RJ";"45041";"Em elaboração";"17,06%";"48,93%";"3,5%";"3,6%"
"Comendador Levy Gasparian";"RJ";"8576";"Não";"--";"--";"--";"--"
"Conceição de Macabu";"RJ";"23398";"Em elaboração";"--";"--";"Atendimento Pleno";"--"
